ID,name,sort name,birth year,death year,Has Account,Admin Link,VIAF id,Gender,Birth Date,Death Date,Wikidata URL,Wikipedia URL,Nationality
10196,Florence Armstrong Grondal,"Grondal, Florence Armstrong",,,False,/admin/people/person/10196/change/,http://viaf.org/viaf/33614540/,,,,,,United States
6929,James Tucker / Ralph Rashleigh,"Tucker, James",1808.0,1888.0,False,/admin/people/person/6929/change/,http://viaf.org/viaf/33802288/,Male,1808.0,1888.0,,,Australia
7572,Eleanor Mercein Kelly,"Kelly, Eleanor Mercein",1880.0,1968.0,False,/admin/people/person/7572/change/,http://viaf.org/viaf/34026539/,Female,1880.0,1968.0,https://www.wikidata.org/entity/Q17308995#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Eleanor_Mercein_Kelly,United States
5721,A. E. Coppard,"Coppard, A. E.",1878.0,1957.0,False,/admin/people/person/5721/change/,http://viaf.org/viaf/3405274/,Male,1878.0,1957.0,https://www.wikidata.org/entity/Q4647724#sitelinks-wikipedia,https://en.wikipedia.org/wiki/A._E._Coppard,United Kingdom
7979,Joseph Quincy Adams,"Adams, Joseph Quincy",1881.0,1946.0,False,/admin/people/person/7979/change/,http://viaf.org/viaf/3415585/,Male,1881.0,1946.0,https://www.wikidata.org/entity/Q6286387#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Joseph_Quincy_Adams_Jr.,United States
6240,W. Reid Chappell,"Chappell, W. Reid",,,False,/admin/people/person/6240/change/,http://viaf.org/viaf/34170770/,,,,,,
7739,Richard Heron Ward,"Ward, Richard Heron",1910.0,1969.0,False,/admin/people/person/7739/change/,http://viaf.org/viaf/34446848/,Male,1910.0,1969.0,https://www.wikidata.org/entity/Q62663357#sitelinks-wikipedia,,United Kingdom
8027,Ian Duncan Colvin,"Colvin, Ian Duncan",1877.0,1938.0,False,/admin/people/person/8027/change/,http://viaf.org/viaf/34449065/,Male,1877.0,1938.0,https://www.wikidata.org/entity/Q9006568#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Ian_Colvin,United Kingdom
9649,Karel Capek,"Capek, Karel",1890.0,1938.0,False,/admin/people/person/9649/change/,http://viaf.org/viaf/34454129/,Male,1890.0,1938.0,https://www.wikidata.org/entity/Q155855#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Karel__apek,Czechoslovakia
6287,Charles Cestre,"Cestre, Charles",1871.0,1958.0,False,/admin/people/person/6287/change/,http://viaf.org/viaf/34454418/,Male,1871.0,1958.0,https://www.wikidata.org/entity/Q18011985#sitelinks-wikipedia,,France
5705,Sigmund Freud,"Freud, Sigmund",1856.0,1939.0,False,/admin/people/person/5705/change/,http://viaf.org/viaf/34456780/,Male,1856.0,1939.0,https://www.wikidata.org/entity/Q9215#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Sigmund_Freud,Austria
9853,Federico García Lorca,"Lorca, Federico García",1898.0,1936.0,False,/admin/people/person/9853/change/,http://viaf.org/viaf/34456883/,Male,1898.0,1936.0,https://www.wikidata.org/entity/Q41408#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Federico_Garc’a_Lorca,Spain
8188,Heinrich Heine,"Heine, Heinrich",1797.0,1856.0,False,/admin/people/person/8188/change/,http://viaf.org/viaf/34457918/,Male,1797.0,1856.0,https://www.wikidata.org/entity/Q44403#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Heinrich_Heine,Germany
7069,Hermann Graf von Keyserling,"Keyserling, Hermann von",1880.0,1946.0,False,/admin/people/person/7069/change/,http://viaf.org/viaf/34458713/,Male,1880.0,1946.0,https://www.wikidata.org/entity/Q60690#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Hermann_von_Keyserling,Germany
6388,Franz Werfel,"Werfel, Franz",1890.0,1945.0,False,/admin/people/person/6388/change/,http://viaf.org/viaf/34464361/,Male,1890.0,1945.0,https://www.wikidata.org/entity/Q78514#sitelinks-wikipedia,https://en.wikipedia.org/wiki/Franz_Werfel,Austria
