uri,genre,title,author,editor,translator,introduction,illustrator,photographer,year,format,uncertain,ebook_url,volumes_issues,notes,event_count,borrow_count,purchase_count,circulation_years,updated
https://shakespeareandco.princeton.edu/books/london-adventure/,Fiction,Adventure,"London, Jack",,,,,,1911,Book,FALSE,https://archive.org/details/adventure00londrich,,,2,2,0,1920;1936,2021-01-17T22:38:45+00:00
https://shakespeareandco.princeton.edu/books/muzzey-american-history/,Nonfiction,An American History,"Muzzey, David Saville",,,,,,1911,Book,FALSE,https://archive.org/details/muzzeysamerican00davirich,,,1,1,0,1939,2021-01-18T03:04:14+00:00
https://shakespeareandco.princeton.edu/books/sidgwick-antheas-guest/,Fiction,Anthea's Guest,"Sidgwick, Cecily",,,,,,1911,Book,FALSE,,,,2,2,0,1928;1930;1931,2020-04-30T19:40:18+00:00
https://shakespeareandco.princeton.edu/books/chesterton-appreciations-criticisms-works/,Nonfiction,Appreciations and Criticisms of the Works of Charles Dickens,"Chesterton, G. K.",,,,,,1911,Book,FALSE,https://archive.org/details/appreciations00chesuoft,,,2,2,0,1921;1938;1939,2020-05-24T16:25:35+00:00
https://shakespeareandco.princeton.edu/books/moore-ave-hail-farewell/,Nonfiction,Ave (Hail and Farewell!),"Moore, George",,,,,,1911,Book,FALSE,https://archive.org/details/hailandfarewell02moorgoog/page/n10/mode/2up,,,9,9,0,1923;1924;1925;1935;1936;1937,2020-05-28T14:23:04+00:00
https://shakespeareandco.princeton.edu/books/concise-oxford-english/,Nonfiction,Concise Oxford English Dictionary,,,,,,,1911,Book,FALSE,,,,2,0,2,1929;1939,2020-07-04T01:06:20+00:00
https://shakespeareandco.princeton.edu/books/bergson-creative-evolution/,Nonfiction,Creative Evolution,"Bergson, Henri",,"Mitchell, Arthur",,,,1911,Book,FALSE,https://archive.org/details/creativeevolutio00berg_1,,,1,1,0,1935,2021-04-30T01:30:20+00:00
https://shakespeareandco.princeton.edu/books/somervile-dan-russel-fox/,Fiction,Dan Russel the Fox: An Episode in the Life of Miss Rowan,"Somerville, E. Œ.;Ross, Martin",,,,,,1911,Book,FALSE,https://archive.org/details/danrusselfoxepis00someiala,,,1,1,0,1940,2020-06-28T02:09:06+00:00
https://shakespeareandco.princeton.edu/books/ferber-dawn-ohara-girl/,Fiction,Dawn O'Hara: The Girl Who Laughed,"Ferber, Edna",,,,,,1911,Book,FALSE,https://archive.org/details/cu31924022410736/page/n7/mode/2up,,,4,4,0,1939;1925;1926,2020-06-07T20:36:46+00:00
https://shakespeareandco.princeton.edu/books/phillpotts-demeters-daughter/,Fiction,Demeter's Daughter,"Phillpotts, Eden",,,,,,1911,Book,FALSE,https://archive.org/details/demetersdaughte01philgoog,,,3,3,0,1930;1926;1927,2021-05-02T02:32:37+00:00
https://shakespeareandco.princeton.edu/books/bennett-denry-audacious/,Fiction,Denry the Audacious,"Bennett, Arnold",,,,,,1911,Book,FALSE,https://archive.org/details/denryaudacious00benngoog,,,1,1,0,1920,2020-06-15T13:31:13+00:00
https://shakespeareandco.princeton.edu/books/montague-dramatic-values/,Nonfiction,Dramatic Values,"Montague, C. E.",,,,,,1911,Book,FALSE,https://archive.org/details/dramaticvalues00montiala,,,1,1,0,1926,2021-05-25T01:12:38+00:00
https://shakespeareandco.princeton.edu/books/wharton-ethan-frome/,Fiction,Ethan Frome,"Wharton, Edith",,,,,,1911,Book,FALSE,https://archive.org/details/in.ernet.dli.2015.91872/page/n7/mode/2up,,,1,1,0,1939,2020-08-15T16:50:24+00:00
